"Data generated on Thursday, August 6, 2026 at 12:54:20 AM EST"
Area/Partners of Destination,,,,,January 2020 - December 2020
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","109","117.8","99","108.2","252","284.0","2,673","3,665.0","725","1,013.6","33","46.0","62","65.9","38","35.4","103","115.9","77","93.8","31","33.4","111","110.5","4,311","5,689.7","US","R00","1507904020",
"1.1","Mexico","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","59","62.5","35","44.3","68","74.3","2,198","3,216.0","725","1,013.6","25","34.9","37","41.5","29","29.6","74","86.3","35","46.1","19","25.4","36","30.9","3,339","4,705.4","US","MX","1507904020",
"1.2","Trinidad and Tobago","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","19","20.1","78","75.6","125","101.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","26","24.9","0","0.0","29","24.9","277","247.1","US","TD","1507904020",
"1.3","Guatemala","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","11","15.8","14","19.7","40","43.0","319","306.9","0","0.0","0","0.0","0","0.0","9","5.9","23","28.1","16","22.9","8","5.2","27","37.5","468","484.9","US","GT","1507904020",
"1.4","Chile","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","15","14.4","15","14.4","US","CI","1507904020",
"1.5","Peru","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","0","0.0","0","0.0","27","38.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","2.8","33","40.8","US","PE","1507904020",
"1.6","Bermuda","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","0","0.0","11","14.9","0","0.0","0","0.0","0","0.0","6","3.6","0","0.0","0","0.0","0","0.0","3","2.9","0","0.0","21","21.4","US","BD","1507904020",
"1.7","Bahamas, The","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","0","0.0","19","26.1","0","0.0","0","0.0","0","0.0","4","3.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","23","29.3","US","BF","1507904020",
"1.8","Cayman Islands","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","0","0.0","8","10.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8","10.9","US","CJ","1507904020",
"1.9","Dominican Republic","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","30","24.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","30","24.2","US","DR","1507904020",
"1.10","Honduras","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","39","39.6","0","0.0","28","39.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","67","78.7","US","HO","1507904020",
"1.11","Netherlands Antilles(*)","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","0","0.0","0","0.0","3","2.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","2.4","US","NT","1507904020",
"1.12","Nicaragua","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","3.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","3.4","US","NU","1507904020",
"1.13","Venezuela","1","1507904020","SOY OIL ONC-RFND","2020-2020","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8","11.1","10","14.1","0","0.0","6","1.5","0","0.0","0","0.0","0","0.0","24","26.7","US","VE","1507904020",
"","Grand Total","","","","","MT","109","117.8","99","108.2","252","284.0","2,673","3,665.0","725","1,013.6","33","46.0","62","65.9","38","35.4","103","115.9","77","93.8","31","33.4","111","110.5","4,311","5,689.7",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items."
"3. (*) denotes a country that is a summarization of its component countries."
"4. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"5. Product Group : FAS"
