"Data generated on Wednesday, August 5, 2026 at 10:33:26 PM EST"
Area/Partners of Destination,,,,,January 2013 - December 2013
And Commodities Re-Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2013-2013","MT","12","5.2","5","2.7","44","28.0","0","0.0","7","3.6","10","4.7","0","0.0","4","0.9","129","100.0","0","0.0","0","0.0","122","101.6","333","246.8","","","US","R00","0226AT",
"1.1","Canada","1","Soybean Oil","2013-2013","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","2.0","0","0.0","0","0.0","104","85.0","0","0.0","0","0.0","92","84.1","201","171.1","","","US","CA","0226AT",
"1.2","Mexico","1","Soybean Oil","2013-2013","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","26","15.0","0","0.0","0","0.0","25","14.8","51","29.8","","","US","MX","0226AT",
"1.3","Nicaragua","1","Soybean Oil","2013-2013","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","2.7","4","2.7","","","US","NU","0226AT",
"1.4","United Arab Emirates","1","Soybean Oil","2013-2013","MT","5","1.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","1.5","","","US","AE","0226AT",
"1.5","Congo (Brazzaville)","1","Soybean Oil","2013-2013","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","0.9","0","0.0","0","0.0","0","0.0","0","0.0","4","0.9","","","US","CF","0226AT",
"1.6","Colombia","1","Soybean Oil","2013-2013","MT","0","0.0","5","2.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","2.7","","","US","CO","0226AT",
"1.7","El Salvador","1","Soybean Oil","2013-2013","MT","0","0.0","0","0.0","3","1.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.8","","","US","ES","0226AT",
"1.8","Korea, South","1","Soybean Oil","2013-2013","MT","0","0.0","0","0.0","38","24.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","38","24.3","","","US","KS","0226AT",
"1.9","Netherlands Antilles(*)","1","Soybean Oil","2013-2013","MT","0","0.0","0","0.0","0","0.0","0","0.0","3","1.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.8","","","US","NT","0226AT",
"1.10","Panama","1","Soybean Oil","2013-2013","MT","7","3.6","0","0.0","3","1.8","0","0.0","3","1.8","5","2.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","19","10.0","","","US","PM","0226AT",
"","Grand Total","","","","MT","12","5.2","5","2.7","44","28.0","0","0.0","7","3.6","10","4.7","0","0.0","4","0.9","129","100.0","0","0.0","0","0.0","122","101.6","333","246.8","890","1,865",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (*) denotes a country that is a summarization of its component countries."
"3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"4. Product Group : FAS &#40;Agricultural&#41;"
