"Data generated on Wednesday, August 5, 2026 at 10:33:03 PM EST"
Area/Partners of Destination,,,,,January 2014 - December 2014
And Commodities Re-Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2014-2014","MT","14","7.5","0","0.0","87","84.6","31","19.4","13","8.1","111","103.3","0","0.0","48","35.6","287","287.1","3","1.8","25","19.3","65","47.8","684","614.5","163","148","US","R00","0226AT",
"","Grand Total","","","","MT","14","7.5","0","0.0","87","84.6","31","19.4","13","8.1","111","103.3","0","0.0","48","35.6","287","287.1","3","1.8","25","19.3","65","47.8","684","614.5","380","540",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"3. Product Group : FAS &#40;Agricultural&#41;"
