"Data generated on Thursday, August 6, 2026 at 12:52:47 AM EST"
Area/Partners of Destination,,,,,January 2023 - December 2023
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","401","290.4","139","73.8","226","188.7","142","106.8","237","213.5","172","195.6","151","195.6","154","128.0","225","226.8","119","114.1","199","244.1","49","39.4","2,214","2,016.8","US","R00","1507904020",
"1.1","Netherlands Antilles(*)","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","45","38.6","27","9.5","80","78.4","21","7.6","15","15.9","28","38.6","0","0.0","27","10.5","50","58.9","5","1.9","3","3.5","27","31.5","327","295.0","US","NT","1507904020",
"1.2","Mexico","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","3","0.8","0","0.0","12","17.3","0","0.0","28","38.9","3","0.8","12","16.2","0","0.0","33","32.6","0","0.0","0","0.0","10","3.1","102","109.7","US","MX","1507904020",
"1.3","Panama","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","160","132.6","8","2.9","43","37.6","67","56.2","18","6.7","22","8.6","10","3.8","50","34.5","54","46.0","55","34.0","11","4.8","7","2.9","505","370.5","US","PM","1507904020",
"1.4","Guatemala","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","24","8.5","27","9.5","30","10.5","26","20.7","55","21.0","5","1.9","0","0.0","0","0.0","16","6.7","0","0.0","9","3.8","5","1.9","197","84.6","US","GT","1507904020",
"1.5","United Arab Emirates","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","0","0.0","0","0.0","0","0.0","0","0.0","57","78.8","48","66.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","104","145.5","US","AE","1507904020",
"1.6","Bahamas, The","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","30","41.1","0","0.0","30","41.1","US","BF","1507904020",
"1.7","Chile","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","54","75.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","54","75.6","US","CI","1507904020",
"1.8","Costa Rica","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","16","21.8","0","0.0","3","3.8","0","0.0","0","0.0","0","0.0","0","0.0","18","25.6","US","CS","1507904020",
"1.9","Dominican Republic","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","27","9.5","27","9.5","11","3.8","10","3.8","8","2.9","3","1.0","0","0.0","0","0.0","5","1.9","44","61.7","39","50.1","0","0.0","173","144.2","US","DR","1507904020",
"1.10","El Salvador","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","3","1.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.0","US","ES","1507904020",
"1.11","Honduras","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","13","4.8","0","0.0","5","1.9","5","1.9","13","4.8","0","0.0","0","0.0","5","1.9","0","0.0","0","0.0","0","0.0","0","0.0","41","15.3","US","HO","1507904020",
"1.12","Italy(*)","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","0","0.0","0","0.0","12","17.0","0","0.0","15","20.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","27","37.8","US","IT","1507904020",
"1.13","Jamaica","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","5","1.9","3","1.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8","2.9","US","JM","1507904020",
"1.14","Kuwait","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","55","76.5","50","69.4","54","75.0","0","0.0","53","73.3","0","0.0","211","294.2","US","KU","1507904020",
"1.15","Lebanon","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","38","52.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","38","52.5","US","LE","1507904020",
"1.16","Qatar","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.3","0","0.0","0","0.0","0","0.0","0","0.0","3","1.3","US","QA","1507904020",
"1.17","Trinidad and Tobago","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","108","77.3","38","27.3","22","7.6","0","0.0","13","4.8","10","3.8","0","0.0","17","6.7","14","5.7","5","1.9","55","67.6","0","0.0","280","202.7","US","TD","1507904020",
"1.18","Leeward-Windward Islands(*)","1","1507904020","SOY OIL ONC-RFND","2023-2023","MT","13","15.4","10","14.0","10","14.4","12","16.5","16","19.0","0","0.0","20","23.6","0","0.0","0","0.0","10","14.6","0","0.0","0","0.0","92","117.5","US","Y1","1507904020",
"","Grand Total","","","","","MT","401","290.4","139","73.8","226","188.7","142","106.8","237","213.5","172","195.6","151","195.6","154","128.0","225","226.8","119","114.1","199","244.1","49","39.4","2,214","2,016.8",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items."
"3. (*) denotes a country that is a summarization of its component countries."
"4. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"5. Product Group : FAS"
