"Data generated on Thursday, August 6, 2026 at 12:52:14 AM EST"
Area/Partners of Destination,,,,,January 2024 - December 2024
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","245","322.5","55","37.4","156","156.3","65","47.3","65","58.4","23","9.5","62","73.9","120","114.5","168","201.7","73","68.1","77","90.2","1,103","1,071.9","2,213","2,251.9","US","R00","1507904020",
"1.1","Mexico","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","166","226.8","11","4.6","3","1.3","15","16.3","0","0.0","0","0.0","31","43.8","19","26.0","21","29.2","38","52.9","3","1.9","1,059","1,013.6","1,365","1,416.2","US","MX","1507904020",
"1.2","Bahamas, The","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","15","21.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","41","56.4","56","77.7","US","BF","1507904020",
"1.3","Panama","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","0","0.0","0","0.0","37","14.3","14","5.7","0","0.0","12","4.8","4","1.9","9","3.8","13","5.7","20","8.6","4","1.9","4","1.9","118","48.6","US","PM","1507904020",
"1.4","United Arab Emirates","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","43","60.2","0","0.0","43","60.2","US","AE","1507904020",
"1.5","Australia(*)","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","14","20.2","0","0.0","0","0.0","0","0.0","14","20.2","US","AS","1507904020",
"1.6","Belgium-Luxembourg(*)","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","0","0.0","0","0.0","0","0.0","6","1.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6","1.3","US","BE","1507904020",
"1.7","Costa Rica","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","0","0.0","0","0.0","0","0.0","0","0.0","3","1.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.0","US","CS","1507904020",
"1.8","Dominican Republic","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","53","63.7","0","0.0","96","133.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","149","196.7","US","DR","1507904020",
"1.9","El Salvador","1","1507904020","SOY OIL ONC-RFND","2024-2024","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","18","24.5","0","0.0","54","75.8","0","0.0","0","0.0","0","0.0","72","100.3","US","ES","1507904020",
