"Data generated on Wednesday, August 5, 2026 at 10:28:02 PM EST"
Area/Partners of Destination,,,,,January 2011 - December 2011
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2011-2011","MT","255,983","211,491.7","172,132","136,624.5","192,770","149,752.8","107,980","85,536.7","55,169","41,589.0","76,823","58,827.9","70,513","54,414.0","68,020","51,989.7","131,279","101,407.4","46,196","35,381.1","59,835","48,885.8","35,139","27,025.0","1,271,841","1,002,925.5","-41","-45","US","R00","0226AT",
"1.1","Mexico","1","Soybean Oil","2011-2011","MT","22,229","18,638.4","18,771","15,171.3","17,675","14,378.6","13,845","11,094.9","14,657","10,784.4","15,051","11,579.7","21,521","16,530.6","9,365","7,417.1","8,309","6,449.6","20,741","16,697.0","20,589","16,834.5","12,153","9,266.6","194,907","154,842.7","-41","-45","US","MX","0226AT",
"1.2","Morocco","1","Soybean Oil","2011-2011","MT","75,883","61,973.2","27,209","21,298.2","23,407","17,920.9","42,005","34,499.1","0","0.0","26,111","21,249.2","19,278","15,503.9","20,404","15,901.0","49,779","37,994.9","0","0.0","22,591","19,997.2","11,040","9,679.3","317,708","256,017.0","-51","-52","US","MO","0226AT",
"1.3","Canada","1","Soybean Oil","2011-2011","MT","2,501","1,809.7","2,659","1,771.9","2,666","1,803.6","3,597","2,362.6","3,270","2,116.6","4,981","3,471.5","3,747","2,560.8","6,083","4,320.5","5,113","3,606.2","3,639","2,546.3","3,908","2,632.1","4,264","2,705.8","46,427","31,707.4","9","3","US","CA","0226AT",
"1.4","Venezuela","1","Soybean Oil","2011-2011","MT","8,896","7,999.9","0","0.0","10,568","7,999.8","9,840","8,000.0","16,271","12,995.7","12","4.3","0","0.0","377","296.5","8,675","6,996.5","0","0.0","0","0.0","2,408","2,000.0","57,047","46,292.7","","","US","VE","0226AT",
"1.5","Guatemala","1","Soybean Oil","2011-2011","MT","13,147","11,499.5","14","7.1","14,956","12,300.2","2,606","2,197.1","3,710","2,804.0","7","3.4","5,980","4,970.5","149","91.6","3,973","3,154.4","2,394","1,838.7","3,379","2,637.8","1,809","1,403.6","52,126","42,907.8","-46","-47","US","GT","0226AT",
"1.6","Panama","1","Soybean Oil","2011-2011","MT","2,686","2,144.0","2,838","2,189.7","156","93.9","346","208.6","353","209.2","85","48.3","384","219.9","444","266.1","186","103.6","268","159.8","288","173.9","511","299.4","8,545","6,116.4","77","72","US","PM","0226AT",
"1.7","Trinidad and Tobago","1","Soybean Oil","2011-2011","MT","1,253","980.2","701","464.4","677","442.8","1,655","1,132.7","829","528.1","687","413.0","937","579.0","1,803","1,245.8","743","449.6","1,037","640.0","927","605.9","468","311.7","11,717","7,793.3","-50","-49","US","TD","0226AT",
"1.8","Japan","1","Soybean Oil","2011-2011","MT","2,053","1,052.9","1,306","559.9","200","59.4","2,250","1,057.9","232","88.0","144","38.4","259","128.9","1,773","1,189.5","226","61.0","1,580","529.5","403","233.3","289","158.4","10,716","5,157.1","-28","-32","US","JA","0226AT",
"1.9","Singapore","1","Soybean Oil","2011-2011","MT","148","111.7","0","0.0","0","0.0","50","17.2","99","36.8","0","0.0","50","17.2","50","18.4","0","0.0","52","18.4","70","36.8","280","92.1","798","348.7","297","150","US","SN","0226AT",
"1.10","Bahamas, The","1","Soybean Oil","2011-2011","MT","234","123.7","151","108.6","377","232.8","514","386.9","264","138.9","90","49.8","400","281.7","428","228.3","378","220.2","351","173.1","283","155.1","273","123.0","3,743","2,222.2","-4","-21","US","BF","0226AT",
"1.11","Philippines","1","Soybean Oil","2011-2011","MT","65","32.3","31","20.0","62","19.5","48","19.5","124","48.3","95","36.5","148","62.2","115","44.6","122","47.7","161","62.4","100","36.5","207","76.4","1,277","505.8","108","109","US","RP","0226AT",
"1.12","Suriname","1","Soybean Oil","2011-2011","MT","9","5.7","55","36.1","28","18.3","4","2.9","0","0.0","0","0.0","3","1.9","30","16.6","0","0.0","28","16.6","4","2.9","203","178.8","364","279.8","4,447","6,143","US","NS","0226AT",
"1.13","Belize","1","Soybean Oil","2011-2011","MT","0","0.0","0","0.0","83","53.8","60","27.3","37","15.5","52","32.0","18","7.6","33","19.5","3","1.6","72","45.1","37","22.0","186","124.7","581","349.3","408","466","US","BH","0226AT",
"1.14","Australia(*)","1","Soybean Oil","2011-2011","MT","96","38.6","37","14.9","12","5.5","111","44.4","91","41.1","105","39.3","0","0.0","33","12.3","0","0.0","168","68.3","121","49.5","164","63.7","938","377.7","36","29","US","AS","0226AT",
"1.15","Netherlands Antilles(*)","1","Soybean Oil","2011-2011","MT","145","81.9","42","29.6","34","16.7","85","44.0","61","33.0","45","22.3","83","38.1","65","37.0","102","49.4","114","50.6","69","39.9","145","73.1","991","515.8","109","83","US","NT","0226AT",
"1.16","Belgium-Luxembourg(*)","1","Soybean Oil","2011-2011","MT","18","4.5","190","76.8","186","76.4","238","94.0","8","2.0","475","197.7","6","1.5","4","1.0","3","0.4","0","0.0","4","-","88","33.5","1,220","487.8","2,056","111,413","US","BE","0226AT",
