"Data generated on Thursday, August 6, 2026 at 12:53:52 AM EST"
Area/Partners of Destination,,,,,January 2021 - December 2021
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","39","49.5","40","53.4","113","150.5","95","125.9","126","143.1","123","132.1","166","181.4","242","186.8","309","296.6","292","321.2","234","206.9","628","522.5","2,407","2,369.7","US","R00","1507904020",
"1.1","Costa Rica","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","5","2.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","16","22.6","148","87.1","169","111.8","US","CS","1507904020",
"1.2","Panama","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","100","50.5","23","11.4","4","1.9","56","46.0","124","68.3","308","178.2","US","PM","1507904020",
"1.3","Mexico","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","39","49.5","19","22.9","38","49.5","95","125.9","67","76.6","23","29.0","68","77.9","66","65.8","75","97.7","114","140.4","57","73.7","106","135.0","768","944.0","US","MX","1507904020",
"1.4","Netherlands Antilles(*)","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","18","24.4","0","0.0","0","0.0","31","43.1","33","29.5","29","13.7","62","55.2","8","3.8","44","34.9","86","111.5","311","316.2","US","NT","1507904020",
"1.5","Trinidad and Tobago","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","33","46.3","0","0.0","16","15.8","41","21.0","13","6.7","0","0.0","10","4.8","8","3.8","53","25.7","85","87.0","259","211.1","US","TD","1507904020",
"1.6","Dominican Republic","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","51","21.9","51","21.9","US","DR","1507904020",
"1.7","Guatemala","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","22","30.5","19","26.4","0","0.0","20","27.6","28","39.1","47","65.9","7","2.4","0","0.0","20","20.1","8","3.8","20","8.6","190","224.3","US","GT","1507904020",
"1.8","Honduras","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6","2.9","0","0.0","0","0.0","4","1.9","10","4.8","US","HO","1507904020",
"1.9","Leeward-Windward Islands(*)","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","5","4.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.2","8","5.2","US","Y1","1507904020",
"1.10","United Arab Emirates","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","66","92.1","0","0.0","0","0.0","0","0.0","66","92.1","US","AE","1507904020",
"1.11","Argentina","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","14","19.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","14","19.1","US","AR","1507904020",
"1.12","Belgium-Luxembourg(*)","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","1.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","1.4","US","BE","1507904020",
"1.13","Colombia","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","61","29.6","76","63.6","0","0.0","0","0.0","137","93.2","US","CO","1507904020",
"1.14","Ecuador","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","28","39.7","0","0.0","0","0.0","0","0.0","0","0.0","28","39.7","US","EC","1507904020",
"1.15","Italy(*)","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","4","1.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","1.8","US","IT","1507904020",
"1.16","Jamaica","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6","2.9","0","0.0","0","0.0","0","0.0","6","2.9","US","JM","1507904020",
"1.17","Peru","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","11","14.7","0","0.0","0","0.0","0","0.0","0","0.0","11","14.7","US","PE","1507904020",
"1.18","Saudi Arabia","1","1507904020","SOY OIL ONC-RFND","2021-2021","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","63","87.4","0","0.0","0","0.0","63","87.4","US","SA","1507904020",
"","Grand Total","","","","","MT","39","49.5","40","53.4","113","150.5","95","125.9","126","143.1","123","132.1","166","181.4","242","186.8","309","296.6","292","321.2","234","206.9","628","522.5","2,407","2,369.7",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items."
"3. (*) denotes a country that is a summarization of its component countries."
"4. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"5. Product Group : FAS"
