"Data generated on Thursday, August 6, 2026 at 12:54:50 AM EST"
Area/Partners of Destination,,,,,January 2019 - December 2019
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","184","169.4","75","74.3","113","129.0","188","235.7","92","81.7","109","113.4","61","60.6","168","176.7","107","96.4","95","105.6","170","168.1","30","26.6","1,391","1,437.6","US","R00","1507904020",
"1.1","Panama","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","16","16.5","0","0.0","0","0.0","0","0.0","12","12.1","28","28.6","US","PM","1507904020",
"1.2","Mexico","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","67","59.2","26","22.1","6","5.7","45","65.7","50","46.6","15","13.3","26","21.9","37","31.2","21","18.1","4","3.8","3","0.8","11","9.5","311","298.1","US","MX","1507904020",
"1.3","Guatemala","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","12","9.4","12","9.8","19","20.0","20","27.8","19","15.4","36","29.4","0","0.0","20","16.1","32","34.7","22","30.2","14","19.4","7","5.0","212","217.3","US","GT","1507904020",
"1.4","Bermuda","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","2.3","0","0.0","0","0.0","0","0.0","0","0.0","3","2.3","US","BD","1507904020",
"1.5","Bahamas, The","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","0","0.0","20","26.5","0","0.0","21","24.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","25","35.3","0","0.0","0","0.0","67","85.8","US","BF","1507904020",
"1.6","Chile","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","3.5","0","0.0","4","3.5","US","CI","1507904020",
"1.7","Colombia","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","31","43.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","31","43.4","US","CO","1507904020",
"1.8","Costa Rica","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","9","2.0","0","0.0","0","0.0","0","0.0","9","2.0","US","CS","1507904020",
"1.9","Dominican Republic","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","25","24.0","0","0.0","24","19.0","0","0.0","49","43.0","US","DR","1507904020",
"1.10","Haiti","1","1507904020","SOY OIL ONC-RFND","2019-2019","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20","27.7","0","0.0","0","0.0","0","0.0","0","0.0","20","27.7","US","HA","1507904020",
