"Data generated on Wednesday, August 5, 2026 at 10:30:53 PM EST"
Area/Partners of Destination,,,,,January 2016 - December 2016
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2016-2016","MT","63,197","75,721.1","43,865","52,020.7","84,313","105,743.4","48,253","57,050.6","39,145","47,091.5","58,845","71,905.9","99,702","126,559.1","39,612","45,073.6","87,955","103,377.5","87,199","109,307.7","87,467","107,365.9","90,569","106,780.5","830,122","1,007,997.4","4","-1","US","R00","0226AT",
"1.1","Mexico","1","Soybean Oil","2016-2016","MT","17,499","18,583.8","15,526","15,660.7","18,043","19,554.5","21,503","25,299.4","16,394","19,701.6","18,473","22,602.3","18,910","22,049.8","20,519","23,104.3","17,302","18,684.6","19,525","23,059.7","17,424","20,482.0","25,701","28,590.8","226,820","257,373.6","48","40","US","MX","0226AT",
"1.2","China","1","Soybean Oil","2016-2016","MT","24","15.2","0","0.0","0","0.0","4","2.1","17","10.1","26","13.5","0","0.0","83","55.8","30,495","40,000.0","26,586","40,052.9","28,631","40,065.0","17,847","23,054.2","103,713","143,268.7","-38","-42","US","CH","0226AT",
"1.3","Korea, South","1","Soybean Oil","2016-2016","MT","70","39.8","8,173","10,434.6","6,522","8,462.8","8,817","11,434.9","36","35.9","0","0.0","15,536","20,299.2","151","118.3","13,587","13,449.2","138","110.3","167","143.0","13,386","17,168.8","66,582","81,696.7","7,933","11,905","US","KS","0226AT",
"1.4","Colombia","1","Soybean Oil","2016-2016","MT","2,150","2,762.4","213","131.6","5,996","7,832.3","0","0.0","0","0.0","10,736","13,902.9","3,133","3,984.2","34","17.6","13","7.0","4,295","5,024.1","23,978","27,788.3","11,363","13,499.7","61,910","74,950.1","-53","-51","US","CO","0226AT",
"1.5","Dominican Republic","1","Soybean Oil","2016-2016","MT","8,758","11,338.4","29","19.2","15,376","20,273.6","1,234","1,493.2","6,558","9,158.6","6,786","8,872.2","6,655","8,594.0","6,453","8,810.8","13,059","16,322.8","56","34.2","8,567","10,265.9","10,698","12,818.1","84,230","108,000.9","25","25","US","DR","0226AT",
"1.6","Jamaica","1","Soybean Oil","2016-2016","MT","2,487","3,246.0","2,700","3,529.8","2,614","3,503.1","5","1.4","2,486","3,499.8","4","1.1","5,395","7,043.8","4","1.1","2,778","3,499.0","2,916","3,500.9","5","2.2","2,831","3,499.3","24,226","31,327.7","53,682","157,527","US","JM","0226AT",
"1.7","Libya","1","Soybean Oil","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,771","2,999.8","2,771","2,999.8","","","US","LY","0226AT",
"1.8","Trinidad and Tobago","1","Soybean Oil","2016-2016","MT","299","269.4","681","656.3","1,330","1,488.0","741","666.2","905","809.0","1,285","1,120.2","1,195","1,288.1","774","686.9","947","860.4","764","676.8","916","802.3","1,786","1,690.7","11,626","11,014.2","95","111","US","TD","0226AT",
"1.9","Canada","1","Soybean Oil","2016-2016","MT","1,584","1,329.6","1,524","1,344.5","1,256","935.9","1,299","1,244.1","1,405","1,224.5","1,630","1,512.8","1,305","1,168.0","2,231","1,972.1","1,295","1,163.4","1,775","1,594.3","1,331","1,267.7","1,702","1,574.5","18,338","16,331.4","28","24","US","CA","0226AT",
"1.10","Panama","1","Soybean Oil","2016-2016","MT","214","198.8","482","413.4","459","399.4","454","342.5","343","295.5","2,016","2,375.7","490","415.4","344","311.5","347","317.3","497","425.2","436","374.4","555","438.8","6,636","6,308.1","27","17","US","PM","0226AT",
