"Data generated on Wednesday, August 5, 2026 at 10:28:39 PM EST"
Area/Partners of Destination,,,,,January 2012 - December 2012
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2012-2012","MT","53,501","41,464.2","79,363","64,623.8","40,506","31,664.7","69,743","54,985.9","102,263","87,796.2","69,943","56,162.6","112,486","89,860.9","118,277","93,777.1","42,683","32,483.1","142,842","114,815.4","142,758","124,556.5","184,228","162,682.5","1,158,593","954,873.1","29","31","US","R00","0226AT",
"1.1","India","1","Soybean Oil","2012-2012","MT","9","4.1","0","0.0","6","1.0","0","0.0","0","0.0","0","0.0","3","0.7","0","0.0","0","0.0","12","1.0","20,506","18,199.3","75,562","69,892.7","96,098","88,098.8","268","284","US","IN","0226AT",
"1.2","Venezuela","1","Soybean Oil","2012-2012","MT","2,279","1,998.8","0","0.0","2,411","1,997.1","612","499.3","0","0.0","6,152","4,499.3","0","0.0","14,379","11,947.5","0","0.0","0","0.0","3,505","3,095.7","24,424","21,999.0","53,761","46,036.6","597","611","US","VE","0226AT",
"1.3","Mexico","1","Soybean Oil","2012-2012","MT","18,872","15,185.7","11,936","9,580.7","14,462","11,493.3","15,733","12,000.3","7,986","6,123.7","11,189","8,978.6","11,089","9,121.2","21,748","17,751.8","22,987","18,190.7","22,366","17,459.6","27,974","23,331.2","22,986","19,316.6","209,328","168,533.3","-18","-17","US","MX","0226AT",
"1.4","Dominican Republic","1","Soybean Oil","2012-2012","MT","30","14.5","20","9.5","4,658","3,850.0","24","12.7","3,138","2,532.9","3,347","2,805.0","0","0.0","31","15.1","63","33.7","45","21.4","19","8.8","15,632","13,907.9","27,008","23,211.6","82,414","157,693","US","DR","0226AT",
"1.5","Colombia","1","Soybean Oil","2012-2012","MT","29","12.7","0","0.0","34","21.7","99","64.8","3,604","2,914.0","5,158","4,609.3","7,475","6,148.9","57","22.1","127","57.6","42","18.6","4,287","4,013.2","13,455","11,783.4","34,365","29,666.3","214","194","US","CO","0226AT",
"1.6","Algeria","1","Soybean Oil","2012-2012","MT","0","0.0","4,727","3,989.6","0","0.0","4,931","4,000.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5,989","5,239.9","15,646","13,229.4","","","US","AG","0226AT",
"1.7","Morocco","1","Soybean Oil","2012-2012","MT","7,779","6,820.4","52,102","44,008.3","0","0.0","29,118","23,999.7","50,231","40,934.3","16,637","14,477.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5,975","5,249.0","161,842","135,489.0","","","US","MO","0226AT",
"1.8","Jamaica","1","Soybean Oil","2012-2012","MT","4,102","3,499.8","4,089","3,503.5","3","1.2","4,368","3,500.0","0","0.0","5,351","4,484.5","0","0.0","4,631","3,999.7","0","0.0","4,760","3,996.8","0","0.0","4,627","4,003.0","31,932","26,988.5","","","US","JM","0226AT",
"1.9","Nicaragua","1","Soybean Oil","2012-2012","MT","3,956","3,398.5","0","0.0","6,977","5,973.4","4,785","3,999.4","6,247","4,854.0","7,059","5,717.5","2,376","2,001.5","3,758","3,199.2","8,079","6,949.5","6,182","5,499.1","7,464","5,944.8","3,300","2,999.7","60,183","50,536.6","-56","-50","US","NU","0226AT",
"1.10","Guatemala","1","Soybean Oil","2012-2012","MT","2,069","1,760.6","152","118.6","36","34.8","2,034","1,623.7","25","28.6","5,170","4,294.5","3,188","2,797.0","1,848","1,553.0","280","189.0","4,331","3,591.3","18","7.9","2,971","2,276.5","22,120","18,275.4","16,657","28,575","US","GT","0226AT",
"1.11","Canada","1","Soybean Oil","2012-2012","MT","3,621","2,421.6","2,060","1,322.0","3,258","2,220.4","2,474","1,605.3","2,458","1,545.1","2,350","1,488.4","3,779","2,761.5","2,996","1,875.2","3,517","2,293.1","6,750","4,811.4","3,834","2,605.5","2,337","1,547.2","39,433","26,496.6","-39","-41","US","CA","0226AT",
"1.12","Japan","1","Soybean Oil","2012-2012","MT","1,927","800.5","1,674","642.3","601","383.0","347","221.5","474","302.7","2,437","1,194.8","460","293.4","350","183.2","230","140.8","1,812","728.6","283","109.8","1,952","736.4","12,547","5,737.0","591","570","US","JA","0226AT",
"1.13","Trinidad and Tobago","1","Soybean Oil","2012-2012","MT","303","201.5","611","380.4","852","521.9","1,353","998.4","1,261","733.1","704","444.9","931","548.0","1,680","1,186.9","623","383.7","1,393","1,005.7","1,510","1,042.8","1,569","1,201.8","12,789","8,649.1","4","15","US","TD","0226AT",
"1.14","El Salvador","1","Soybean Oil","2012-2012","MT","1,648","1,398.0","0","0.0","37","13.8","993","760.9","1,219","950.1","1,407","1,208.0","26","9.2","43","14.9","1,507","1,161.4","672","554.8","28","10.3","1,410","1,253.5","8,992","7,334.8","4,943","12,119","US","ES","0226AT",
"1.15","Mayotte","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","447","364.0","447","364.0","","","US","MF","0226AT",
"1.16","Bahamas, The","1","Soybean Oil","2012-2012","MT","337","167.9","500","270.7","372","221.0","327","156.7","478","250.8","318","169.1","341","192.7","423","222.8","376","205.9","231","128.9","570","348.1","418","233.8","4,691","2,568.4","-27","-33","US","BF","0226AT",
"1.17","Panama","1","Soybean Oil","2012-2012","MT","333","200.6","190","113.1","205","121.9","233","142.7","501","298.1","209","122.6","374","239.5","374","232.6","362","202.3","477","272.6","400","247.8","277","191.2","3,935","2,385.1","-31","-23","US","PM","0226AT",
"1.18","China","1","Soybean Oil","2012-2012","MT","0","0.0","91","37.8","130","57.0","32","13.5","64","27.0","38","16.1","81,064","65,016.7","52,427","41,026.6","55","24.6","92,400","76,052.0","38,279","34,029.9","161","67.4","264,741","216,368.5","-100","-100","US","CH","0226AT",
"1.19","Honduras","1","Soybean Oil","2012-2012","MT","9","4.5","51","35.5","16","9.0","0","0.0","34","26.6","49","34.5","33","11.0","23","6.0","79","39.3","7","2.9","58","27.4","68","25.0","428","221.8","16","-9","US","HO","0226AT",
"1.20","Guyana","1","Soybean Oil","2012-2012","MT","7","3.5","11","5.2","22","8.9","3","1.4","39","14.8","41","26.5","14","6.7","8","3.8","24","9.7","45","18.0","37","24.5","64","33.2","313","156.2","73","36","US","GY","0226AT",
"1.21","Hong Kong","1","Soybean Oil","2012-2012","MT","52","29.4","49","29.0","38","21.1","54","29.4","32","19.1","19","9.9","48","26.3","19","9.9","69","38.2","32","19.1","49","29.0","61","34.0","522","294.2","25","18","US","HK","0226AT",
"1.22","Turkey","1","Soybean Oil","2012-2012","MT","94","36.8","0","0.0","0","0.0","0","0.0","50","18.3","0","0.0","0","0.0","100","36.7","0","0.0","100","39.3","0","0.0","56","36.2","399","167.4","","","US","TU","0226AT",
"1.23","Netherlands Antilles(*)","1","Soybean Oil","2012-2012","MT","106","53.7","70","34.2","75","35.6","144","63.1","44","17.9","110","50.6","58","26.0","50","24.3","40","18.3","70","30.9","77","36.1","49","22.2","890","413.1","-37","-38","US","NT","0226AT",
"1.24","United Arab Emirates","1","Soybean Oil","2012-2012","MT","4,423","2,503.9","35","22.6","54","25.0","35","19.1","44","23.1","0","0.0","6","1.7","35","22.6","26","8.0","38","10.3","70","35.2","45","29.1","4,811","2,700.5","-36","-17","US","AE","0226AT",
"1.25","Bermuda","1","Soybean Oil","2012-2012","MT","48","23.3","31","18.3","56","33.0","37","23.1","38","22.9","88","44.6","43","26.1","67","41.0","42","21.4","59","34.7","18","10.6","43","23.3","571","322.3","147","119","US","BD","0226AT",
"1.26","Cayman Islands","1","Soybean Oil","2012-2012","MT","6","2.3","4","1.5","50","28.0","10","4.9","7","2.8","45","26.8","10","3.9","6","2.3","51","27.8","4","1.4","24","12.3","43","26.7","259","140.6","83","117","US","CJ","0226AT",
"1.27","Suriname","1","Soybean Oil","2012-2012","MT","270","241.3","12","7.7","274","243.8","220","189.0","198","175.8","180","134.7","186","160.1","196","174.9","163","143.6","50","18.8","243","214.5","43","37.6","2,033","1,741.7","-82","-82","US","NS","0226AT",
"1.28","Leeward-Windward Islands(*)","1","Soybean Oil","2012-2012","MT","28","12.7","64","56.3","49","30.3","19","7.0","54","37.5","13","5.5","45","22.4","23","10.9","19","11.2","14","6.4","55","23.6","40","31.3","422","255.3","-26","33","US","Y1","0226AT",
"1.29","Korea, South","1","Soybean Oil","2012-2012","MT","3","1.6","135","54.1","3","1.3","3","1.6","0","0.0","35","17.2","0","0.0","6,142","5,052.4","124","39.3","0","0.0","11,822","10,999.9","38","15.2","18,304","16,182.6","-100","-100","US","KS","0226AT",
"1.30","Saudi Arabia","1","Soybean Oil","2012-2012","MT","15","10.3","0","0.0","0","0.0","35","20.0","101","53.6","69","43.4","0","0.0","32","19.0","0","0.0","28","18.0","0","0.0","37","24.3","318","188.7","","","US","SA","0226AT",
"1.31","Kuwait","1","Soybean Oil","2012-2012","MT","35","20.2","29","20.9","0","0.0","0","0.0","70","19.1","35","19.1","0","0.0","35","20.2","35","19.1","0","0.0","40","23.0","35","20.2","314","161.6","-12","-12","US","KU","0226AT",
"1.32","Indonesia","1","Soybean Oil","2012-2012","MT","0","0.0","98","54.1","55","27.1","70","38.1","54","25.5","42","24.1","104","56.6","49","23.6","31","16.8","35","17.9","48","21.1","33","16.8","621","321.5","-31","-21","US","ID","0226AT",
"1.33","Belize","1","Soybean Oil","2012-2012","MT","95","59.4","87","50.2","35","20.1","73","45.1","33","19.5","58","35.3","5","2.1","77","46.3","20","7.2","73","39.9","90","52.8","26","7.9","672","385.9","-71","-85","US","BH","0226AT",
"1.34","Lebanon","1","Soybean Oil","2012-2012","MT","107","67.0","37","23.5","89","54.3","0","0.0","90","96.7","223","247.1","150","138.7","217","168.9","79","54.8","112","79.8","0","0.0","24","16.5","1,128","947.3","","","US","LE","0226AT",
"1.35","Singapore","1","Soybean Oil","2012-2012","MT","87","49.3","52","18.4","0","0.0","7","4.6","0","0.0","0","0.0","338","117.2","0","0.0","246","94.4","56","24.2","0","0.0","12","7.3","798","315.4","","","US","SN","0226AT",
"1.36","Philippines","1","Soybean Oil","2012-2012","MT","5","2.2","71","27.4","126","45.3","172","60.8","117","41.5","124","44.9","121","43.1","19","7.7","14","5.5","21","8.3","26","10.5","10","3.9","828","300.9","-62","-63","US","RP","0226AT",
"1.37","Iceland","1","Soybean Oil","2012-2012","MT","21","9.8","4","2.1","0","0.0","18","8.8","19","9.3","19","8.3","34","17.4","0","0.0","5","1.6","12","5.7","5","2.6","5","2.6","143","68.1","","0","US","IC","0226AT",
"1.38","Brazil","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","4.2","3","4.2","","","US","BR","0226AT",
"1.39","French Pacific Islands(*)","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.9","3","1.9","","","US","Z1","0226AT",
"1.40","Afghanistan","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,622","1,640.0","0","0.0","2,622","1,640.0","","","US","AF","0226AT",
"1.41","Australia(*)","1","Soybean Oil","2012-2012","MT","30","12.3","119","62.1","271","110.2","324","121.9","88","49.3","45","22.0","68","24.3","158","61.2","615","250.2","60","24.6","31","11.6","0","0.0","1,810","749.8","","","US","AS","0226AT",
"1.42","Austria","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","13","0.1","0","0.0","0","0.0","13","0.1","","","US","AU","0226AT",
"1.43","Bahrain","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","11","6.0","0","0.0","0","0.0","11","6.0","","","US","BA","0226AT",
"1.44","Barbados","1","Soybean Oil","2012-2012","MT","6","2.7","0","0.0","3","0.9","615","499.3","0","0.0","585","499.4","0","0.0","602","499.8","0","0.0","0","0.0","0","0.0","0","0.0","1,810","1,502.1","","","US","BB","0226AT",
"1.45","Belgium-Luxembourg(*)","1","Soybean Oil","2012-2012","MT","48","17.2","155","53.1","106","39.4","51","23.1","255","96.6","152","59.1","101","39.3","58","22.0","148","57.4","14","0.1","0","0.0","0","0.0","1,088","407.3","","","US","BE","0226AT",
"1.46","Bangladesh","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","2,910","2,519.4","0","0.0","0","0.0","0","0.0","413","260.0","0","0.0","0","0.0","0","0.0","3,323","2,779.4","","","US","BG","0226AT",
"1.47","Brunei","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","5","1.8","0","0.0","7","2.9","0","0.0","10","3.9","0","0.0","0","0.0","0","0.0","0","0.0","22","8.6","","","US","BX","0226AT",
"1.48","Congo (Kinshasa)","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","4,912","3,905.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4,912","3,905.5","","","US","CG","0226AT",
"1.49","Costa Rica","1","Soybean Oil","2012-2012","MT","7","1.0","24","33.8","33","39.4","0","0.0","29","36.4","33","24.8","0","0.0","25","20.7","0","0.0","28","20.3","13","7.5","0","0.0","192","183.9","","","US","CS","0226AT",
"1.50","Denmark","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","7","4.6","4","2.4","3","2.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","13","9.0","","","US","D1","0226AT",
"1.51","Ecuador","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","4","2.7","3","1.9","0","0.0","0","0.0","3","1.9","4","2.7","8","3.4","56","17.9","0","0.0","0","0.0","79","30.4","","","US","EC","0226AT",
"1.52","Egypt","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","3.1","0","0.0","0","0.0","18,572","18,194.7","0","0.0","18,577","18,197.8","","","US","EG","0226AT",
"1.53","Ethiopia(*)","1","Soybean Oil","2012-2012","MT","639","390.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","865","500.0","0","0.0","0","0.0","0","0.0","1,505","890.0","","","US","ET","0226AT",
"1.54","Micronesia","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.6","","","US","FM","0226AT",
"1.55","Germany","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","3","3.4","0","0.0","0","0.0","0","0.0","0","0.0","5","2.0","4","0.8","0","0.0","0","0.0","12","6.3","","","US","GM","0226AT",
"1.56","Greece","1","Soybean Oil","2012-2012","MT","0","0.0","29","20.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","29","20.0","","","US","GR","0226AT",
"1.57","Guinea","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","1.8","0","0.0","0","0.0","0","0.0","0","0.0","5","1.8","","","US","GV","0226AT",
"1.58","Haiti","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","225","151.9","9","3.2","0","0.0","0","0.0","2,580","1,999.8","1,311","1,000.9","0","0.0","7","4.8","0","0.0","4,131","3,160.6","","","US","HA","0226AT",
"1.59","Israel(*)","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","31","9.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","31","9.8","","","US","IS","0226AT",
"1.60","Italy(*)","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","92","30.8","113","49.4","60","26.8","6","3.8","3","1.9","0","0.0","0","0.0","7","0.6","0","0.0","0","0.0","280","113.3","","","US","IT","0226AT",
"1.61","Liberia","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","318","200.0","0","0.0","304","190.0","0","0.0","0","0.0","622","390.0","","","US","LI","0226AT",
"1.62","Madagascar","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","2,951","2,349.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,951","2,349.6","","","US","MA","0226AT",
"1.63","Malaysia","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,588","2,003.3","0","0.0","0","0.0","0","0.0","0","0.0","2,588","2,003.3","","","US","MY","0226AT",
"1.64","Mozambique","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","11,393","9,400.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","11,393","9,400.0","","","US","MZ","0226AT",
"1.65","Netherlands","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","5,829","11,176.4","8","3.4","0","0.0","0","0.0","0","0.0","5","1.8","0","0.0","0","0.0","5,842","11,181.7","","","US","NL","0226AT",
"1.66","New Zealand(*)","1","Soybean Oil","2012-2012","MT","24","6.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6","1.6","0","0.0","22","7.2","0","0.0","0","0.0","52","15.5","","","US","NZ","0226AT",
