"Data generated on Wednesday, August 5, 2026 at 10:29:17 PM EST"
Area/Partners of Destination,,,,,January 2013 - December 2013
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2013-2013","MT","133,987","117,456.7","177,799","154,099.5","74,667","62,017.7","74,571","61,638.0","43,542","35,976.1","42,213","34,050.3","38,422","32,072.9","48,385","42,089.0","44,350","39,889.9","37,982","32,365.7","61,820","61,651.0","137,328","145,251.9","915,066","818,558.8","122","136","US","R00","0226AT",
"1.1","Colombia","1","Soybean Oil","2013-2013","MT","8,915","7,972.2","6,347","5,518.5","3,870","3,508.8","150","67.1","10","2.7","41","28.1","3","0.2","23","20.1","2,903","2,950.9","39","19.7","0","0.0","54,358","60,081.7","76,660","80,170.0","","","US","CO","0226AT",
"1.2","Mexico","1","Soybean Oil","2013-2013","MT","19,351","16,378.4","14,511","11,686.8","20,888","17,270.3","23,443","19,684.9","22,930","19,338.9","17,822","14,499.3","9,842","8,092.4","9,186","8,122.2","13,677","11,936.1","21,953","20,414.2","14,453","13,605.8","21,554","21,468.3","209,610","182,497.5","49","58","US","MX","0226AT",
"1.3","China","1","Soybean Oil","2013-2013","MT","21,339","19,002.2","41,848","36,586.3","69","30.3","37,745","32,495.3","108","44.8","72","28.8","73","30.8","139","57.8","97","40.4","8","3.2","18,553","20,067.4","14,782","16,027.0","134,832","124,414.5","-20","-20","US","CH","0226AT",
"1.4","Nicaragua","1","Soybean Oil","2013-2013","MT","0","0.0","6,762","5,999.6","5,999","4,999.4","0","0.0","0","0.0","0","0.0","0","0.0","3,507","3,353.0","4","2.6","7","4.4","1,218","1,355.0","13,627","15,299.6","31,122","31,013.6","1,019","1,029","US","NU","0226AT",
"1.5","Dominican Republic","1","Soybean Oil","2013-2013","MT","2,402","2,212.8","11,002","9,742.9","12,768","11,319.1","8","4.5","19","9.4","31","16.3","30","15.5","55","30.8","21","10.8","79","36.0","8,409","9,216.5","9,030","10,002.3","43,854","42,616.9","7","9","US","DR","0226AT",
"1.6","Guatemala","1","Soybean Oil","2013-2013","MT","3","1.0","60","49.6","8,407","6,979.7","78","44.0","3,729","3,190.3","713","560.8","34","16.1","775","507.9","1,214","1,065.5","52","70.0","18","17.4","5,664","5,917.3","20,746","18,419.7","31,813","33,826","US","GT","0226AT",
"1.7","Venezuela","1","Soybean Oil","2013-2013","MT","3,471","3,197.1","0","0.0","9,060","7,595.5","6,200","5,000.0","5,617","4,993.9","2,802","2,498.1","0","0.0","0","0.0","2,902","2,998.0","4,528","3,999.9","5,615","5,997.8","4,562","3,998.5","44,759","40,278.9","-19","-33","US","VE","0226AT",
"1.8","Jamaica","1","Soybean Oil","2013-2013","MT","0","0.0","4","1.7","3,966","3,501.8","3","1.1","4,537","3,999.9","4","1.7","0","0.0","3","1.5","4","1.8","0","0.0","6","2.5","3,229","3,501.1","11,754","11,013.2","58,573","137,739","US","JM","0226AT",
"1.9","Canada","1","Soybean Oil","2013-2013","MT","3,811","2,609.7","2,743","1,856.9","3,081","2,088.6","3,113","2,264.3","3,037","2,082.3","3,317","2,189.6","3,168","2,138.9","3,412","2,161.3","5,858","4,497.6","5,356","3,797.0","2,981","2,201.9","2,777","2,093.2","42,652","29,981.3","-7","-5","US","CA","0226AT",
"1.10","Chile","1","Soybean Oil","2013-2013","MT","0","0.0","0","0.0","0","0.0","27","37.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,361","2,408.1","2,388","2,446.0","","","US","CI","0226AT",
