"Data generated on Wednesday, August 5, 2026 at 10:34:13 PM EST"
Area/Partners of Destination,,,,,January 2011 - December 2011
And Commodities Re-Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2011-2011","MT","19","11.7","20","10.8","43","23.3","16","7.8","0","0.0","12","6.1","4","2.0","18","8.5","37","20.4","0","0.0","14","6.9","14","7.1","197","104.6","3","3","US","R00","0226AT",
"1.1","Panama","1","Soybean Oil","2011-2011","MT","0","0.0","0","0.0","3","1.8","0","0.0","0","0.0","0","0.0","4","2.0","0","0.0","0","0.0","0","0.0","0","0.0","14","7.1","21","10.9","","","US","PM","0226AT",
"1.2","Canada","1","Soybean Oil","2011-2011","MT","9","6.4","0","0.0","0","0.0","8","3.9","0","0.0","0","0.0","0","0.0","0","0.0","31","17.3","0","0.0","5","2.5","0","0.0","54","30.1","","","US","CA","0226AT",
"1.3","Colombia","1","Soybean Oil","2011-2011","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","1.8","6","3.0","0","0.0","0","0.0","0","0.0","10","4.9","","","US","CO","0226AT",
"1.4","Costa Rica","1","Soybean Oil","2011-2011","MT","0","0.0","3","1.8","3","1.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6","3.6","","","US","CS","0226AT",
"1.5","Dominican Republic","1","Soybean Oil","2011-2011","MT","0","0.0","0","0.0","10","5.0","4","2.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","14","7.0","","","US","DR","0226AT",
"1.6","Guatemala","1","Soybean Oil","2011-2011","MT","7","3.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7","3.6","","","US","GT","0226AT",
"1.7","Jamaica","1","Soybean Oil","2011-2011","MT","0","0.0","0","0.0","0","0.0","4","2.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","2.0","","","US","JM","0226AT",
"1.8","Netherlands Antilles(*)","1","Soybean Oil","2011-2011","MT","3","1.7","0","0.0","15","8.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8","4.4","0","0.0","26","14.3","","","US","NT","0226AT",
"1.9","Nicaragua","1","Soybean Oil","2011-2011","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12","6.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12","6.1","","","US","NU","0226AT",
"1.10","Trinidad and Tobago","1","Soybean Oil","2011-2011","MT","0","0.0","16","9.0","12","6.5","0","0.0","0","0.0","0","0.0","0","0.0","14","6.7","0","0.0","0","0.0","0","0.0","0","0.0","42","22.2","","","US","TD","0226AT",
"","Grand Total","","","","MT","19","11.7","20","10.8","43","23.3","16","7.8","0","0.0","12","6.1","4","2.0","18","8.5","37","20.4","0","0.0","14","6.9","14","7.1","197","104.6","-28","-40",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (*) denotes a country that is a summarization of its component countries."
"3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"4. Product Group : FAS &#40;Agricultural&#41;"
