"Data generated on Wednesday, August 5, 2026 at 10:32:17 PM EST"
Area/Partners of Destination,,,,,January 2016 - December 2016
And Commodities Re-Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2016-2016","MT","123","88.1","19","14.3","37","26.4","46","37.1","57","56.7","65","84.1","40","25.8","22","21.0","102","115.4","14","10.9","0","0.0","20","20.5","545","500.4","","","US","R00","0226AT",
"1.1","Canada","1","Soybean Oil","2016-2016","MT","101","71.3","0","0.0","0","0.0","0","0.0","41","42.2","65","84.1","0","0.0","0","0.0","90","105.4","0","0.0","0","0.0","20","20.5","317","323.5","","","US","CA","0226AT",
"1.2","Brazil","1","Soybean Oil","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","11","2.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","11","2.4","","","US","BR","0226AT",
"1.3","Guatemala","1","Soybean Oil","2016-2016","MT","5","3.6","0","0.0","0","0.0","5","3.6","4","2.7","0","0.0","0","0.0","0","0.0","3","2.7","0","0.0","0","0.0","0","0.0","16","12.8","","","US","GT","0226AT",
"1.4","Honduras","1","Soybean Oil","2016-2016","MT","0","0.0","13","12.0","0","0.0","0","0.0","12","11.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","26","23.8","","","US","HO","0226AT",
"1.5","India","1","Soybean Oil","2016-2016","MT","4","2.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","2.2","","","US","IN","0226AT",
"1.6","Japan","1","Soybean Oil","2016-2016","MT","0","0.0","0","0.0","0","0.0","15","12.5","0","0.0","0","0.0","15","12.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","30","25.0","","","US","JA","0226AT",
"1.7","Mexico","1","Soybean Oil","2016-2016","MT","0","0.0","5","2.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","2.2","","","US","MX","0226AT",
"1.8","Netherlands Antilles(*)","1","Soybean Oil","2016-2016","MT","14","10.9","0","0.0","19","10.7","18","14.6","0","0.0","0","0.0","14","10.9","9","7.3","9","7.3","7","5.5","0","0.0","0","0.0","91","67.3","","","US","NT","0226AT",
"1.9","Nicaragua","1","Soybean Oil","2016-2016","MT","0","0.0","0","0.0","17","15.6","0","0.0","0","0.0","0","0.0","0","0.0","13","13.7","0","0.0","7","5.5","0","0.0","0","0.0","38","34.8","","","US","NU","0226AT",
"1.10","Leeward-Windward Islands(*)","1","Soybean Oil","2016-2016","MT","0","0.0","0","0.0","0","0.0","8","6.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8","6.4","","","US","Y1","0226AT",
"","Grand Total","","","","MT","123","88.1","19","14.3","37","26.4","46","37.1","57","56.7","65","84.1","40","25.8","22","21.0","102","115.4","14","10.9","0","0.0","20","20.5","545","500.4","-83","-77",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (*) denotes a country that is a summarization of its component countries."
"3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"4. Product Group : FAS &#40;Agricultural&#41;"
