"Data generated on Wednesday, August 5, 2026 at 10:29:52 PM EST"
Area/Partners of Destination,,,,,January 2014 - December 2014
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2014-2014","MT","114,696","121,180.7","113,174","125,850.7","80,915","88,696.4","41,351","42,020.4","22,403","20,783.7","37,048","36,169.6","81,240","89,820.8","51,184","53,977.4","33,109","34,305.1","63,910","72,195.0","88,307","104,982.9","89,714","107,150.3","817,051","897,133.1","2","2","US","R00","0226AT",
"1.1","Mexico","1","Soybean Oil","2014-2014","MT","14,744","14,748.5","13,795","14,704.5","13,655","14,061.7","18,326","19,102.4","12,703","12,389.5","13,835","13,410.6","13,809","13,722.6","19,056","20,674.1","10,836","11,456.9","12,403","13,782.1","20,322","23,175.7","22,833","26,652.9","186,317","197,881.5","12","15","US","MX","0226AT",
"1.2","Dominican Republic","1","Soybean Oil","2014-2014","MT","16,237","17,190.5","14,538","16,420.8","9,886","11,501.5","14,285","15,632.2","20","10.7","3,512","4,006.1","11,427","12,604.6","9,283","10,330.6","12,799","14,483.4","7,902","9,234.9","4,975","6,070.1","19,028","23,560.1","123,893","141,045.5","282","288","US","DR","0226AT",
"1.3","Colombia","1","Soybean Oil","2014-2014","MT","6","3.1","20","5.4","70","34.7","27","14.7","55","30.0","21","10.4","30","15.5","0","0.0","53","26.9","3","1.5","21,359","27,043.8","16,926","21,703.6","38,570","48,889.6","-21","-20","US","CO","0226AT",
"1.4","Nicaragua","1","Soybean Oil","2014-2014","MT","5,460","6,499.4","2,768","3,169.9","7,897","8,757.9","0","0.0","29","20.0","0","0.0","3","1.5","1,671","1,999.8","3,135","3,851.5","2,641","3,249.0","0","0.0","14,701","18,211.8","38,304","45,760.9","","","US","NU","0226AT",
"1.5","Korea, South","1","Soybean Oil","2014-2014","MT","0","0.0","28","19.9","22","19.9","22","20.1","38","16.7","51","40.1","75","32.7","72","58.1","59","35.2","18,089","25,057.4","38","39.9","8,433","11,043.5","26,927","36,383.6","21,928","27,567","US","KS","0226AT",
"1.6","Canada","1","Soybean Oil","2014-2014","MT","2,400","1,849.0","2,041","1,598.2","2,371","1,801.6","2,025","1,584.8","1,852","1,553.3","4,241","3,759.0","3,428","3,284.4","6,910","6,431.6","2,414","1,801.0","2,802","2,364.4","1,664","1,444.6","2,133","1,779.0","34,281","29,250.9","28","23","US","CA","0226AT",
"1.7","Japan","1","Soybean Oil","2014-2014","MT","1,823","1,069.5","1,197","469.2","329","98.2","950","516.6","401","129.8","1,658","540.9","214","59.6","233","82.8","314","97.4","1,504","547.8","197","92.8","1,432","475.6","10,251","4,180.3","628","413","US","JA","0226AT",
"1.8","Costa Rica","1","Soybean Oil","2014-2014","MT","5","1.3","4","1.2","918","1,003.3","0","0.0","0","0.0","7","2.0","7","1.1","4","1.9","45","62.0","0","0.0","24","6.6","807","1,001.2","1,821","2,080.6","3,289","15,087","US","CS","0226AT",
"1.9","Trinidad and Tobago","1","Soybean Oil","2014-2014","MT","283","226.7","588","501.7","834","670.0","582","446.2","1,404","1,233.1","836","629.9","766","601.5","887","680.7","1,172","947.5","1,362","1,304.2","1,477","1,154.1","559","487.1","10,750","8,882.8","-62","-58","US","TD","0226AT",
"1.10","United Arab Emirates","1","Soybean Oil","2014-2014","MT","217","138.6","248","201.9","176","120.6","335","259.6","235","215.8","415","294.1","277","192.6","391","263.0","251","176.5","330","277.4","76","87.7","382","321.1","3,334","2,549.1","404","266","US","AE","0226AT",
"1.11","Uganda","1","Soybean Oil","2014-2014","MT","0","0.0","458","439.5","0","0.0","138","220.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","317","528.0","345","290.0","1,257","1,477.6","9","-45","US","UG","0226AT",
"1.12","Papua New Guinea","1","Soybean Oil","2014-2014","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","288","269.5","288","269.5","","","US","PP","0226AT",
"1.13","Bahamas, The","1","Soybean Oil","2014-2014","MT","448","359.1","273","180.3","270","214.4","314","213.1","311","230.8","131","90.3","298","180.0","427","332.1","418","285.8","279","199.0","157","119.8","280","208.4","3,606","2,613.3","78","74","US","BF","0226AT",
"1.14","Lebanon","1","Soybean Oil","2014-2014","MT","278","270.1","213","200.7","68","81.8","179","166.4","60","49.8","140","137.6","402","343.2","198","212.3","66","50.2","104","88.4","96","70.1","208","220.9","2,011","1,891.5","117","215","US","LE","0226AT",
"1.15","Suriname","1","Soybean Oil","2014-2014","MT","38","26.0","96","103.4","266","270.4","48","51.7","195","172.4","239","258.5","144","155.1","96","103.4","48","51.7","96","103.4","96","103.4","191","206.8","1,551","1,606.3","100","100","US","NS","0226AT",
"1.16","Belize","1","Soybean Oil","2014-2014","MT","48","21.0","93","31.5","99","32.4","25","14.1","153","57.8","111","48.1","0","0.0","22","5.2","186","66.3","55","27.3","23","5.7","182","56.1","995","365.5","704","882","US","BH","0226AT",
"1.17","Panama","1","Soybean Oil","2014-2014","MT","1,935","2,178.0","382","296.8","288","219.5","123","85.6","147","102.2","138","96.6","359","251.5","339","230.4","305","238.6","3,592","2,200.1","217","150.1","165","113.9","7,990","6,163.2","-24","-24","US","PM","0226AT",
"1.18","Congo (Kinshasa)","1","Soybean Oil","2014-2014","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","200","155.6","70","50.0","0","0.0","104","79.9","375","285.6","","","US","CG","0226AT",
"1.19","Honduras","1","Soybean Oil","2014-2014","MT","13","5.0","94","66.9","78","55.7","40","23.6","49","32.7","95","62.3","35","17.9","58","41.2","0","0.0","44","30.4","16","8.6","100","69.5","622","413.8","534","709","US","HO","0226AT",
"1.20","Hong Kong","1","Soybean Oil","2014-2014","MT","46","29.3","5,559","6,054.6","30","15.1","46","27.7","73","40.7","19","9.9","102","60.3","101","54.2","180","92.0","173","92.0","80","46.0","94","52.7","6,503","6,574.5","17","15","US","HK","0226AT",
"1.21","Kuwait","1","Soybean Oil","2014-2014","MT","50","24.1","144","96.5","0","0.0","26","20.0","96","66.2","61","44.1","68","48.3","24","20.2","108","85.5","55","44.3","61","44.3","92","68.3","787","561.8","50","54","US","KU","0226AT",
"1.22","Netherlands Antilles(*)","1","Soybean Oil","2014-2014","MT","54","27.9","55","23.9","45","19.7","42","21.7","109","59.5","39","19.8","66","32.0","72","37.8","62","28.6","81","44.0","28","12.8","76","37.2","728","364.9","169","191","US","NT","0226AT",
"1.23","Guatemala","1","Soybean Oil","2014-2014","MT","45","56.7","3,463","4,024.4","3,477","3,614.1","183","132.0","44","58.1","10,744","12,203.1","12","7.2","6,208","6,748.0","16","17.4","7,269","8,030.2","5,164","6,511.5","74","78.7","36,699","41,481.4","-99","-99","US","GT","0226AT",
"1.24","Saudi Arabia","1","Soybean Oil","2014-2014","MT","163","112.1","165","120.6","129","96.5","224","164.9","155","116.7","91","68.4","37","26.0","34","24.1","68","48.3","68","48.3","88","68.4","68","48.3","1,291","942.6","-23","-29","US","SA","0226AT",
"1.25","Australia(*)","1","Soybean Oil","2014-2014","MT","36","18.3","0","0.0","40","18.3","40","55.7","3","0.8","0","0.0","40","18.3","0","0.0","0","0.0","76","37.2","120","37.4","27","10.3","382","196.2","-78","-72","US","AS","0226AT",
"1.26","El Salvador","1","Soybean Oil","2014-2014","MT","984","1,158.9","25","8.9","1,974","2,003.8","35","15.5","24","9.9","11","4.9","15","7.0","44","19.4","23","10.6","606","755.6","22","7.9","23","10.6","3,786","4,013.1","5","34","US","ES","0226AT",
"1.27","Indonesia","1","Soybean Oil","2014-2014","MT","0","0.0","28","16.8","64","38.6","91","58.4","30","19.8","28","16.8","41","22.7","0","0.0","34","19.7","27","16.8","109","96.1","22","17.2","474","322.8","-80","-82","US","ID","0226AT",
"1.28","Guyana","1","Soybean Oil","2014-2014","MT","11","5.1","4","2.0","4","1.8","16","9.1","32","19.3","25","13.6","46","27.7","12","7.9","64","32.5","18","10.5","3","2.1","20","13.5","254","145.0","487","552","US","GY","0226AT",
"1.29","Bahrain","1","Soybean Oil","2014-2014","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","24","20.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20","20.2","44","40.4","","","US","BA","0226AT",
"1.30","Bermuda","1","Soybean Oil","2014-2014","MT","50","33.8","45","30.4","31","14.9","15","6.7","13","6.1","12","10.0","0","0.0","3","1.0","7","7.3","24","10.7","25","17.1","18","9.1","243","147.1","-27","-46","US","BD","0226AT",
"1.31","Leeward-Windward Islands(*)","1","Soybean Oil","2014-2014","MT","64","34.2","60","36.0","89","43.1","51","44.1","32","18.4","27","11.8","26","14.5","70","45.5","11","7.3","56","33.9","24","15.7","17","9.9","528","314.4","-28","-37","US","Y1","0226AT",
"1.32","Equatorial Guinea","1","Soybean Oil","2014-2014","MT","10","5.1","0","0.0","9","10.1","3","1.4","5","2.6","0","0.0","3","1.7","0","0.0","3","1.7","6","3.2","0","0.0","12","6.2","52","31.8","","","US","EK","0226AT",
"1.33","Belgium-Luxembourg(*)","1","Soybean Oil","2014-2014","MT","24","6.0","12","0.1","0","0.0","0","0.0","0","0.0","0","0.0","10","2.5","0","0.0","0","0.0","0","0.0","10","1.6","8","0.1","65","10.3","-20","-96","US","BE","0226AT",
"1.34","Kazakhstan","1","Soybean Oil","2014-2014","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7","1.6","7","1.6","","","US","KZ","0226AT",
"1.35","India","1","Soybean Oil","2014-2014","MT","0","0.0","7","3.1","5","2.5","4","2.1","0","0.0","12","5.5","0","0.0","5","2.5","3","0.4","4","1.9","8","3.7","7","1.5","53","23.2","-13","-59","US","IN","0226AT",
"1.36","China","1","Soybean Oil","2014-2014","MT","32,774","35,026.2","30,698","35,007.3","34,015","40,040.2","9","4.1","58","27.0","0","0.0","34,042","40,000.5","0","0.0","3","1.5","3","1.5","0","0.0","7","3.1","131,610","150,111.5","","","US","CH","0226AT",
"1.37","Jamaica","1","Soybean Oil","2014-2014","MT","3,075","3,500.7","0","0.0","3,330","3,502.4","0","0.0","3,203","3,501.4","3","1.0","9","4.4","3,137","3,499.8","0","0.0","3,374","3,999.9","0","0.0","6","2.6","16,136","18,012.2","","","US","JM","0226AT",
"1.38","Cayman Islands","1","Soybean Oil","2014-2014","MT","4","1.4","4","1.7","32","21.6","3","1.7","34","21.5","4","1.7","32","21.3","4","1.4","31","21.4","0","0.0","27","20.0","6","2.1","179","115.8","-79","-89","US","CJ","0226AT",
"1.39","Barbados","1","Soybean Oil","2014-2014","MT","0","0.0","0","0.0","0","0.0","0","0.0","4","2.9","0","0.0","5","3.8","0","0.0","0","0.0","0","0.0","21","19.0","5","2.4","35","28.1","-76","-87","US","BB","0226AT",
"1.40","Philippines","1","Soybean Oil","2014-2014","MT","45","17.6","0","0.0","49","28.1","13","9.6","69","28.3","71","43.9","0","0.0","14","6.0","10","4.4","28","12.2","18","8.1","3","1.2","320","159.5","-84","-85","US","RP","0226AT",
"1.41","Brunei","1","Soybean Oil","2014-2014","MT","3","1.2","0","0.0","0","0.0","0","0.0","8","3.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.0","14","5.6","","","US","BX","0226AT",
"1.42","Singapore","1","Soybean Oil","2014-2014","MT","3","2.1","0","0.0","0","0.0","20","4.8","0","0.0","0","0.0","35","22.9","0","0.0","0","0.0","0","0.0","0","0.0","3","1.5","60","31.3","","","US","SN","0226AT",
"1.43","Bangladesh","1","Soybean Oil","2014-2014","MT","0","0.0","0","0.0","0","0.0","0","0.0","560","420.0","200","150.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","759","570.0","","","US","BG","0226AT",
