"Data generated on Wednesday, August 5, 2026 at 10:30:23 PM EST"
Area/Partners of Destination,,,,,January 2015 - December 2015
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1.19","Bahamas, The","1","Soybean Oil","2015-2015","MT","267","164.7","351","256.6","217","148.3","231","150.3","170","110.7","347","248.4","320","225.7","171","126.3","251","161.3","236","160.2","289","200.1","342","268.1","3,192","2,220.7","18","34","US","BF","0226AT",
"1.20","Panama","1","Soybean Oil","2015-2015","MT","420","318.6","257","210.5","203","174.1","285","243.3","276","181.1","388","306.2","291","232.3","362","321.8","911","982.4","403","346.9","384","340.9","323","296.3","4,503","3,954.3","-16","-13","US","PM","0226AT",
"1.21","Lebanon","1","Soybean Oil","2015-2015","MT","130","98.9","95","87.3","106","99.2","186","167.1","235","248.5","42","41.1","97","74.2","159","139.1","283","247.7","207","200.0","110","92.1","164","161.7","1,812","1,656.9","49","76","US","LE","0226AT",
"1.22","Australia(*)","1","Soybean Oil","2015-2015","MT","0","0.0","237","123.7","24","16.0","40","55.7","10","4.8","0","0.0","140","64.0","0","0.0","0","0.0","131","59.9","250","124.4","142","84.6","972","533.1","-43","-32","US","AS","0226AT",
"1.23","Hong Kong","1","Soybean Oil","2015-2015","MT","287","226.8","65","51.1","129","81.3","86","49.3","165","84.1","169","86.1","74","42.6","152","90.4","74","45.5","117","57.5","122","69.4","125","78.2","1,565","962.4","2","13","US","HK","0226AT",
"1.24","Belize","1","Soybean Oil","2015-2015","MT","20","4.9","113","59.4","339","192.3","176","68.9","78","36.8","169","61.5","0","0.0","25","13.7","22","7.2","157","67.9","28","7.5","105","30.5","1,230","550.4","281","309","US","BH","0226AT",
"1.25","Suriname","1","Soybean Oil","2015-2015","MT","96","81.6","96","86.2","130","120.3","144","155.1","151","158.5","144","155.1","144","155.1","144","155.1","96","103.4","96","103.4","96","103.4","96","103.4","1,430","1,480.8","","0","US","NS","0226AT",
"1.26","Leeward-Windward Islands(*)","1","Soybean Oil","2015-2015","MT","41","28.7","76","47.9","26","15.7","61","37.9","22","14.2","15","7.7","24","17.1","33","22.1","38","27.2","16","5.8","40","28.7","73","57.3","464","310.2","82","99","US","Y1","0226AT",
"1.27","Guatemala","1","Soybean Oil","2015-2015","MT","8,142","10,022.8","1,028","1,095.2","8,733","11,216.6","31","29.0","56","61.9","1,648","2,156.5","40","44.8","34","36.4","4,682","6,656.8","5,057","6,585.1","3,758","4,887.0","45","46.9","33,254","42,839.1","-99","-99","US","GT","0226AT",
"1.28","Malaysia","1","Soybean Oil","2015-2015","MT","0","0.0","6","2.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","40","18.5","47","21.3","","","US","MY","0226AT",
"1.29","Netherlands Antilles(*)","1","Soybean Oil","2015-2015","MT","60","37.7","76","44.4","26","11.8","20","9.0","27","11.3","59","30.7","43","18.5","27","15.3","76","44.1","30","14.3","35","20.4","38","22.4","517","279.9","8","10","US","NT","0226AT",
"1.30","Chile","1","Soybean Oil","2015-2015","MT","32","24.1","0","0.0","0","0.0","0","0.0","32","24.1","0","0.0","0","0.0","30","24.1","55","48.3","0","0.0","31","26.7","34","26.3","214","173.7","10","-2","US","CI","0226AT",
"1.31","Cayman Islands","1","Soybean Oil","2015-2015","MT","30","21.2","30","21.5","0","0.0","29","21.2","4","1.4","32","23.0","31","21.7","13","8.7","28","21.3","0","0.0","24","20.0","26","20.0","245","180.1","6","0","US","CJ","0226AT",
"1.32","Philippines","1","Soybean Oil","2015-2015","MT","4","1.6","23","10.2","18","8.9","26","12.6","6","2.5","24","12.2","10","4.5","26","12.0","0","0.0","21","9.8","0","0.0","19","8.7","176","83.1","","","US","RP","0226AT",
"1.33","Kuwait","1","Soybean Oil","2015-2015","MT","87","56.2","50","40.5","114","87.5","200","155.7","64","48.3","55","43.2","98","78.3","119","92.4","191","138.7","77","63.2","0","0.0","18","15.9","1,074","819.8","","","US","KU","0226AT",
"1.34","Jordan","1","Soybean Oil","2015-2015","MT","72","54.4","0","0.0","31","24.1","83","61.2","31","24.1","4","2.3","30","23.9","31","24.1","31","24.1","31","24.1","31","24.1","17","19.1","392","305.6","-43","-21","US","JO","0226AT",
"1.35","Nicaragua","1","Soybean Oil","2015-2015","MT","5,733","7,499.5","91","79.6","5,852","7,299.3","4","2.3","3","1.9","6","3.3","3","1.9","0","0.0","0","0.0","4,915","6,818.6","0","0.0","14","6.2","16,621","21,712.6","","","US","NU","0226AT",
"1.36","Bermuda","1","Soybean Oil","2015-2015","MT","19","9.8","12","6.4","10","4.0","3","2.9","22","11.5","27","12.2","3","2.9","25","14.5","17","14.3","8","7.1","19","16.8","13","8.7","178","111.0","-31","-48","US","BD","0226AT",
"1.37","Honduras","1","Soybean Oil","2015-2015","MT","47","37.5","815","1,019.8","91","66.9","29","21.5","52","39.5","77","57.0","21","13.7","114","83.3","21","18.0","81","59.9","7","3.4","10","4.0","1,367","1,424.5","32","18","US","HO","0226AT",
