"Data generated on Thursday, August 6, 2026 at 12:55:17 AM EST"
Area/Partners of Destination,,,,,January 2018 - December 2018
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","129","153.1","110","142.3","221","255.8","110","133.3","453","572.2","100","94.9","162","164.4","88","73.9","99","82.9","96","92.1","141","165.6","206","216.9","1,916","2,147.6","US","R00","1507904020",
"1.1","Trinidad and Tobago","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","22","31.1","0","0.0","49","48.0","0","0.0","52","72.0","0","0.0","92","96.0","0","0.0","23","24.0","23","24.0","0","0.0","135","146.0","395","441.1","US","TD","1507904020",
"1.2","Lebanon","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","17","15.9","68","63.5","68","63.5","17","15.9","0","0.0","0","0.0","0","0.0","6","4.8","34","33.3","210","196.8","US","LE","1507904020",
"1.3","Mexico","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","21","18.9","17","14.3","65","64.0","22","18.1","28","23.5","10","12.8","33","40.1","25","23.2","3","2.9","32","27.1","3","2.9","20","24.5","280","272.2","US","MX","1507904020",
"1.4","Guatemala","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","46","64.0","21","29.2","23","31.9","18","25.6","13","17.7","0","0.0","0","0.0","13","10.1","15","11.8","30","33.2","13","10.1","13","10.3","204","244.0","US","GT","1507904020",
"1.5","Leeward-Windward Islands(*)","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","3","2.5","36","50.5","0","0.0","17","15.8","0","0.0","9","7.4","0","0.0","0","0.0","0","0.0","0","0.0","4","2.9","70","79.2","US","Y1","1507904020",
"1.6","Australia(*)","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","31","42.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","31","42.7","US","AS","1507904020",
"1.7","Bahamas, The","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","20","27.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20","27.4","US","BF","1507904020",
"1.8","Belize","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","14","19.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","14","19.3","US","BH","1507904020",
"1.9","Chile","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20","44.1","0","0.0","20","44.1","US","CI","1507904020",
"1.10","Colombia","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","33","46.2","33","46.4","0","0.0","0","0.0","6","1.9","0","0.0","0","0.0","0","0.0","31","43.1","0","0.0","104","137.7","US","CO","1507904020",
"1.11","Costa Rica","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","11","15.0","0","0.0","0","0.0","0","0.0","0","0.0","3","0.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","13","15.8","US","CS","1507904020",
"1.12","El Salvador","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","3","0.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","0.9","US","ES","1507904020",
"1.13","Germany","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","4","3.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","3.3","US","GM","1507904020",
"1.14","Guyana","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","20","28.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20","28.5","US","GY","1507904020",
"1.15","Honduras","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","6","6.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6","6.1","US","HO","1507904020",
"1.16","Japan","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6","5.0","0","0.0","0","0.0","6","5.0","US","JA","1507904020",
"1.17","Jordan","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","55","50.8","0","0.0","55","50.8","US","JO","1507904020",
"1.18","Korea, South","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","50","40.6","50","40.4","0","0.0","0","0.0","0","0.0","100","81.0","US","KS","1507904020",
"1.19","Netherlands Antilles(*)","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","14","19.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8","3.7","0","0.0","0","0.0","0","0.0","22","23.0","US","NT","1507904020",
"1.20","Panama","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","11","15.7","0","0.0","15","15.1","0","0.0","0","0.0","18","15.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","44","46.4","US","PM","1507904020",
"1.21","Marshall Islands","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","2.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","2.9","US","RM","1507904020",
"1.22","Sweden","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","2.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","2.4","US","SW","1507904020",
"1.23","Turkey","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","19","16.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","19","16.5","US","TU","1507904020",
"1.24","Venezuela","1","1507904020","SOY OIL ONC-RFND","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","250","347.8","0","0.0","0","0.0","0","0.0","0","0.0","5","2.8","13","9.9","0","0.0","268","360.4","US","VE","1507904020",
"","Grand Total","","","","","MT","129","153.1","110","142.3","221","255.8","110","133.3","453","572.2","100","94.9","162","164.4","88","73.9","99","82.9","96","92.1","141","165.6","206","216.9","1,916","2,147.6",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items."
"3. (*) denotes a country that is a summarization of its component countries."
"4. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"5. Product Group : FAS"
