"Data generated on Wednesday, August 5, 2026 at 10:25:54 PM EST"
Area/Partners of Destination,,,,,January 2010 - December 2010
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2010-2010","MT","208,066","233,084.1","160,107","181,226.7","162,977","185,082.0","59,789","67,132.1","32,428","35,026.2","60,857","58,540.6","68,579","81,247.4","146,756","165,859.9","72,781","79,146.3","197,512","199,719.0","202,052","196,190.0","203,353","178,925.0","1,575,257","1,661,179.3","1","-9","US","R00","0226AT",
"1.1","China","1","Soybean Oil","2010-2010","MT","103","48.2","25","17.1","58","23.9","7","2.6","105","57.1","47","27.0","33,376","41,539.2","70,662","82,528.0","31,046","35,034.4","78,519","81,531.3","61,738","60,038.0","119,320","107,039.3","395,006","407,885.9","93","78","US","CH","0226AT",
"1.2","Mexico","1","Soybean Oil","2010-2010","MT","10,032","11,221.8","11,177","12,531.2","24,600","29,343.0","12,954","14,806.6","9,157","10,142.4","35,137","31,843.7","9,227","11,005.8","14,848","16,949.8","16,598","18,631.8","18,160","19,209.4","14,810","15,163.2","23,913","21,343.0","200,612","212,191.6","61","41","US","MX","0226AT",
"1.3","Hong Kong","1","Soybean Oil","2010-2010","MT","1,793","2,000.3","2,548","3,067.0","6","0.9","0","0.0","18","10.3","0","0.0","0","0.0","0","0.0","26","14.0","8,283","8,026.0","34","20.4","12,745","10,144.8","25,454","23,283.7","37,318","49,600","US","HK","0226AT",
"1.4","Colombia","1","Soybean Oil","2010-2010","MT","258","286.7","230","204.6","319","292.1","111","104.3","136","112.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5,151","4,899.8","11,222","9,699.2","17,427","15,599.2","118","98","US","CO","0226AT",
"1.5","Nicaragua","1","Soybean Oil","2010-2010","MT","0","0.0","1,585","1,899.8","7,218","8,497.5","2,366","2,799.8","2,296","2,748.7","2,121","2,599.6","4,169","5,099.3","0","0.0","5,957","6,948.7","2,163","1,950.0","0","0.0","8,182","7,149.1","36,058","39,692.4","","","US","NU","0226AT",
"1.6","Jamaica","1","Soybean Oil","2010-2010","MT","21","18.3","2,552","3,000.0","2,474","2,999.5","0","0.0","3,388","3,999.8","0","0.0","2,483","2,999.9","2,386","2,996.9","3,274","3,500.0","34","24.1","0","0.0","5,286","4,499.7","21,899","24,038.3","","","US","JM","0226AT",
"1.7","Afghanistan","1","Soybean Oil","2010-2010","MT","4,870","3,894.2","0","0.0","0","0.0","0","0.0","0","0.0","2,496","2,100.0","1,781","1,500.0","0","0.0","0","0.0","0","0.0","756","560.0","4,643","3,440.0","14,545","11,494.2","514","514","US","AF","0226AT",
"1.8","Canada","1","Soybean Oil","2010-2010","MT","3,491","2,900.6","3,593","3,153.8","4,924","4,409.9","3,269","2,906.0","3,318","2,785.8","5,136","4,989.1","3,590","3,365.4","3,139","2,427.1","3,954","3,511.3","6,242","6,007.4","2,912","2,418.3","3,618","2,751.6","47,186","41,626.3","24","14","US","CA","0226AT",
"1.9","Dominican Republic","1","Soybean Oil","2010-2010","MT","8,699","10,424.5","2,557","3,216.1","17,635","20,016.2","2,049","2,454.6","121","79.0","832","983.6","36","22.5","21","15.2","754","974.3","809","959.9","18,972","19,961.5","3,427","3,186.6","55,911","62,294.0","-82","-84","US","DR","0226AT",
"1.10","Haiti","1","Soybean Oil","2010-2010","MT","0","0.0","2,420","2,839.9","6,013","6,749.8","6,556","7,252.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,416","3,249.8","2,131","2,499.7","20,536","22,591.3","-38","-23","US","HA","0226AT",
"1.11","Senegal","1","Soybean Oil","2010-2010","MT","0","0.0","1,215","1,420.0","0","0.0","0","0.0","0","0.0","0","0.0","1,759","2,100.0","1,770","2,100.0","0","0.0","0","0.0","0","0.0","1,623","1,418.8","6,367","7,038.8","","","US","SG","0226AT",
"1.12","Israel(*)","1","Soybean Oil","2010-2010","MT","0","0.0","0","0.0","1,325","1,500.0","0","0.0","0","0.0","0","0.0","18","6.5","0","0.0","18","13.4","15","6.1","0","0.0","1,591","1,530.0","2,967","3,056.1","","","US","IS","0226AT",
"1.13","Costa Rica","1","Soybean Oil","2010-2010","MT","3","1.4","16","20.3","815","999.4","43","41.2","0","0.0","835","1,019.2","7","5.4","0","0.0","1,377","1,507.3","12","7.7","17","19.0","1,162","999.6","4,287","4,620.4","6,900","5,171","US","CS","0226AT",
"1.14","Trinidad and Tobago","1","Soybean Oil","2010-2010","MT","198","167.2","308","268.5","1,105","1,084.1","890","686.6","672","554.5","582","433.3","932","965.0","733","620.2","500","410.1","950","682.9","1,811","1,460.0","722","487.1","9,402","7,819.5","-60","-67","US","TD","0226AT",
"1.15","Saudi Arabia","1","Soybean Oil","2010-2010","MT","121","95.9","105","75.1","221","155.5","92","68.0","720","793.5","419","310.1","84","58.5","618","619.1","640","638.4","192","135.5","95","60.4","579","520.2","3,886","3,530.1","511","762","US","SA","0226AT",
"1.16","Venezuela","1","Soybean Oil","2010-2010","MT","4,480","4,999.7","0","0.0","0","0.0","4,655","5,998.6","6,946","7,999.7","0","0.0","7,085","8,702.3","6,732","7,985.3","90","17.1","0","0.0","12,489","12,915.9","549","497.9","43,025","49,116.5","-96","-96","US","VE","0226AT",
"1.17","Guatemala","1","Soybean Oil","2010-2010","MT","4,082","4,503.1","0","0.0","12,870","14,666.4","2,138","2,499.8","1,164","1,322.3","39","28.6","1,084","1,203.9","293","204.4","2,025","2,505.5","1,571","1,525.3","2,262","2,810.7","435","325.8","27,964","31,595.7","-81","-88","US","GT","0226AT",
"1.18","Bahamas, The","1","Soybean Oil","2010-2010","MT","221","158.5","215","139.6","357","256.1","196","141.9","166","109.8","266","227.5","215","177.8","299","201.0","236","180.8","309","222.3","328","221.0","412","294.9","3,219","2,331.2","26","33","US","BF","0226AT",
"1.19","Panama","1","Soybean Oil","2010-2010","MT","2,352","2,645.4","76","60.8","186","157.4","940","992.5","200","154.7","208","167.4","145","117.7","136","110.0","270","196.0","271","187.0","293","195.8","378","256.4","5,454","5,241.0","29","31","US","PM","0226AT",
"1.20","Kyrgyzstan","1","Soybean Oil","2010-2010","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","258","199.6","258","199.6","","","US","KG","0226AT",
"1.21","Korea, South","1","Soybean Oil","2010-2010","MT","11,738","13,999.9","8,487","10,252.4","62","19.5","50","18.5","58","26.4","15","14.2","34","18.8","3","1.6","27","35.7","50","18.4","11,693","10,999.8","195","75.3","32,411","35,480.5","-98","-99","US","KS","0226AT",
"1.22","Liberia","1","Soybean Oil","2010-2010","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","724","520.0","0","0.0","133","89.9","857","609.8","","","US","LI","0226AT",
"1.23","United Arab Emirates","1","Soybean Oil","2010-2010","MT","18","15.4","17","15.4","58","37.2","78","52.6","86","55.8","52","34.9","142","93.3","60","39.0","91","72.5","121","91.4","0","0.0","121","92.7","843","600.3","","","US","AE","0226AT",
"1.24","Lebanon","1","Soybean Oil","2010-2010","MT","0","0.0","19","15.2","0","0.0","99","72.6","60","55.8","87","58.5","24","24.1","67","64.3","3,756","4,012.6","18","14.0","0","0.0","120","86.6","4,249","4,403.7","","","US","LE","0226AT",
"1.25","Spain","1","Soybean Oil","2010-2010","MT","93","46.2","85","38.9","0","0.0","5","2.2","0","0.0","95","39.3","0","0.0","143","58.0","0","0.0","0","0.0","4","5.7","98","41.1","523","231.5","2,372","622","US","SP","0226AT",
"1.26","Kuwait","1","Soybean Oil","2010-2010","MT","18","15.4","59","54.6","74","65.4","0","0.0","49","43.1","29","20.9","41","39.7","26","24.5","55","37.2","0","0.0","0","0.0","86","54.4","437","355.2","","","US","KU","0226AT",
"1.27","Taiwan","1","Soybean Oil","2010-2010","MT","0","0.0","3","1.1","6","2.5","0","0.0","0","0.0","14","4.4","8","0.8","18","13.9","3","1.1","28","10.5","26","14.5","62","24.3","169","73.2","135","68","US","TW","0226AT",
"1.28","Japan","1","Soybean Oil","2010-2010","MT","1,307","522.7","1,499","653.1","100","39.0","1,377","531.6","511","519.9","1,453","530.3","94","39.4","1,611","543.1","1,528","545.2","210","56.7","597","524.3","60","19.7","10,347","4,524.8","-90","-96","US","JA","0226AT",
"1.29","Netherlands Antilles(*)","1","Soybean Oil","2010-2010","MT","79","45.7","122","74.0","78","50.8","51","25.7","33","19.8","51","43.9","54","28.5","46","36.0","44","31.0","35","22.2","24","11.4","59","40.6","676","429.6","149","257","US","NT","0226AT",
"1.30","Singapore","1","Soybean Oil","2010-2010","MT","48","18.4","0","0.0","0","0.0","0","0.0","0","0.0","48","18.4","33","12.1","0","0.0","0","0.0","130","49.0","50","37.2","50","12.6","357","147.8","","-66","US","SN","0226AT",
