"Data generated on Thursday, August 6, 2026 at 12:53:19 AM EST"
Area/Partners of Destination,,,,,January 2022 - December 2022
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Reporter Code,Partner Code,Product Code,
"1","World Total","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","238","178.8","54","50.1","84","82.6","214","169.5","214","210.9","150","113.1","158","116.7","178","176.1","118","123.2","133","71.2","211","184.8","257","210.2","2,007","1,687.2","US","R00","1507904020",
"1.1","Panama","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","33","14.3","0","0.0","0","0.0","84","47.3","58","35.9","22","9.5","37","16.2","66","64.7","31","33.4","48","21.6","32","14.3","112","73.0","523","330.2","US","PM","1507904020",
"1.2","Kuwait","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","55","76.4","55","76.4","US","KU","1507904020",
"1.3","Netherlands Antilles(*)","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","0","0.0","4","1.9","11","4.8","67","62.5","24","20.7","17","20.2","28","24.9","39","45.8","19","18.1","48","33.4","45","46.3","44","41.3","346","320.1","US","NT","1507904020",
"1.4","Guatemala","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","60","38.5","11","4.8","0","0.0","4","1.9","0","0.0","0","0.0","4","1.9","8","3.8","0","0.0","4","1.9","4","1.9","18","7.6","114","62.3","US","GT","1507904020",
"1.5","Trinidad and Tobago","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","27","11.4","0","0.0","11","4.8","13","5.7","79","88.1","54","34.3","76","65.3","52","54.7","14","6.7","32","14.3","115","106.1","16","6.7","491","398.0","US","TD","1507904020",
"1.6","Leeward-Windward Islands(*)","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","0","0.0","0","0.0","0","0.0","35","48.2","0","0.0","13","18.0","3","1.3","3","3.7","13","18.8","0","0.0","11","15.3","9","3.3","87","108.5","US","Y1","1507904020",
"1.7","Dominican Republic","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","9","3.8","0","0.0","0","0.0","4","1.9","0","0.0","4","1.9","0","0.0","0","0.0","13","12.0","0","0.0","0","0.0","4","1.9","35","21.5","US","DR","1507904020",
"1.8","Belgium-Luxembourg(*)","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","5.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","5.5","US","BE","1507904020",
"1.9","Chile","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","50","40.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","50","40.0","US","CI","1507904020",
"1.10","El Salvador","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","13","5.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","13","5.7","US","ES","1507904020",
"1.11","Honduras","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7","2.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7","2.9","US","HO","1507904020",
"1.12","Italy(*)","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7","2.5","5","1.6","4","1.4","0","0.0","0","0.0","0","0.0","0","0.0","16","5.6","US","IT","1507904020",
"1.13","Mexico","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","59","70.8","38","43.5","62","73.0","6","1.9","53","66.2","13","18.2","0","0.0","0","0.0","27","34.3","0","0.0","3","0.8","0","0.0","261","308.7","US","MX","1507904020",
"1.14","Spain","1","1507904020","SOY OIL ONC-RFND","2022-2022","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6","1.9","0","0.0","0","0.0","0","0.0","0","0.0","6","1.9","US","SP","1507904020",
"","Grand Total","","","","","MT","238","178.8","54","50.1","84","82.6","214","169.5","214","210.9","150","113.1","158","116.7","178","176.1","118","123.2","133","71.2","211","184.8","257","210.2","2,007","1,687.2",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items."
"3. (*) denotes a country that is a summarization of its component countries."
"4. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"5. Product Group : FAS"
