"Data generated on Wednesday, August 5, 2026 at 10:33:50 PM EST"
Area/Partners of Destination,,,,,January 2012 - December 2012
And Commodities Re-Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybean Oil","2012-2012","MT","4","1.8","0","0.0","23","13.7","24","11.8","0","0.0","5","2.8","0","0.0","21","10.6","10","5.3","0","0.0","12","5.6","17","8.7","115","60.2","48","57","US","R00","0226AT",
"1.1","Mexico","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","0.8","17","8.7","20","9.5","458","988","US","MX","0226AT",
"1.2","Canada","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","23","13.7","24","11.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","47","25.5","","","US","CA","0226AT",
"1.3","Costa Rica","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","0.2","0","0.0","3","0.2","","","US","CS","0226AT",
"1.4","El Salvador","1","Soybean Oil","2012-2012","MT","4","1.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","1.8","","","US","ES","0226AT",
"1.5","Guatemala","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","2.7","0","0.0","0","0.0","0","0.0","0","0.0","5","2.7","","","US","GT","0226AT",
"1.6","Honduras","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","1.8","0","0.0","0","0.0","0","0.0","3","1.8","","","US","HO","0226AT",
"1.7","Netherlands Antilles(*)","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","2.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","2.8","","","US","NT","0226AT",
"1.8","Panama","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","16","8.0","7","3.5","0","0.0","0","0.0","0","0.0","22","11.5","","","US","PM","0226AT",
"1.9","Trinidad and Tobago","1","Soybean Oil","2012-2012","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","4.5","0","0.0","5","4.5","","","US","TD","0226AT",
"","Grand Total","","","","MT","4","1.8","0","0.0","23","13.7","24","11.8","0","0.0","5","2.8","0","0.0","21","10.6","10","5.3","0","0.0","12","5.6","17","8.7","115","60.2","384","392",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (*) denotes a country that is a summarization of its component countries."
"3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"4. Product Group : FAS &#40;Agricultural&#41;"
